代码,名称,最新价,近5日涨幅,AI分数
300959,线上线下,133.79,20.0,100
688625,呈和科技,96.25,20.0,100
688478,晶升股份,58.89,11.47,100
301196,唯科科技,168.59,10.41,100
688663,新风光,84.0,10.38,100
688551,科威尔,69.58,11.51,93
688282,理工导航,101.0,11.11,93
300870,欧陆通,438.0,11.05,93
300632,光莆股份,31.51,10.72,93
831779,卓越信通,3.79,90.45,85
300965,恒宇信通,79.2,20.0,85
301288,清研环境,20.35,11.51,85
300054,鼎龙股份,71.98,10.93,85
300045,华力创通,25.68,10.74,85
300017,网宿科技,19.3,10.41,85
688257,新锐股份,82.92,10.34,85
833678,南方阀门,4.05,91.94,55
300559,佳发教育,13.55,10.34,55
833984,民太安,1.0,23.46,30
838428,恒实股份,2.1,89.19,15
